source_word,source_seg,related_word,related_seg
respectively,re.spec.tive.ly,respective,re.spec.tive
respectively,re.spec.tive.ly,respect,re.spect
respectively,re.spec.tive.ly,vn,v.n
chilly,chi.lly,chilli,chi.lli
narrative,narr.ative,narrow,narr.ow
disparate,dis.par.ate,disparage,dis.par.age
disparate,dis.par.ate,disparity,dis.par.ity
disparate,dis.par.ate,desperate,des.per.ate
obscene,ob.sc.ene,scene,sc.ene
roadster,road.ster,dragster,drag.ster
delegate,de.leg.ate,relegate,re.leg.ate
premier,pre.mi.er,premiere,pre.mi.ere
implicit,im.plicit,explicit,ex.plicit
implicit,im.plicit,implicate,im.plic.ate
collegiate,col.legi.ate,collegial,col.legi.al
collegiate,col.legi.ate,legion,legi.on
collegiate,col.legi.ate,college,col.lege
collegial,coll.eg.i.al,collegiate,coll.eg.i.ate
assertive,as.sert.ive,insert,in.sert
assertive,as.sert.ive,desert,de.sert
crumble,crumb.le,crumple,crump.le
crumble,crumb.le,bumble,bumb.le
wrinkle,wr.ink.le,crinkle,cr.ink.le
wrinkle,wr.ink.le,vn,v.n
tentative,tenta.tive,tentacle,tenta.cle
reconciliation,re.con.cili.ation,conciliate,con.cili.ate
reconciliation,re.con.cili.ation,recon,re.con
envoy,en.voy,envy,en.vy
envoy,en.voy,nv,n.v
envoy,en.voy,convoy,con.voy
envoy,en.voy,voyage,voy.age
envoy,en.voy,voyeur,voy.eur
impose,im.pose,impostor,im.post.or
impose,im.pose,propose,pro.pose
impose,im.pose,depose,de.pose
impose,im.pose,repose,re.pose
impose,im.pose,dispose,dis.pose
secret,se.cret,secretary,se.cret.ary
secret,se.cret,concrete,con.crete
secretary,se.cret.ary,secret,se.cret
secretary,se.cret.ary,secrete,se.crete
secretary,se.cret.ary,discrete,dis.crete
scoundrel,sc.oun.drel,scrounge,scr.oun.ge
scoundrel,sc.oun.drel,sound,s.oun.d
whisker,whis.ker,whisky,whis.ky
whisker,whis.ker,whiskey,whis.key
implication,im.pli.cation,imprecation,im.pre.cation
implication,im.pli.cation,complicate,com.plicate
implication,im.pli.cation,implicate,im.plicate
implication,im.pli.cation,explicate,ex.plicate
perpetuate,per.petu.ate,perpetual,per.petu.al
perpetuate,per.petu.ate,perpetrate,per.petr.ate
perpetual,per.petu.al,perpetuate,per.petu.ate
perpetual,per.petu.al,perpetrate,per.petr.ate
bluster,blu.ster,bluff,blu.ff
bluster,blu.ster,blister,bli.ster
indiscriminate,in.dis.crimin.ate,discriminate,dis.crimin.ate
indiscriminate,in.dis.crimin.ate,criminal,crimin.al
jockey,jock.ey,hockey,hock.ey
adroit,a.droit,android,an.droid
contend,con.tend,intend,in.tend
contend,con.tend,extend,ex.tend
contend,con.tend,content,con.tent
contend,con.tend,intent,in.tent
propose,pro.pose,impose,im.pose
propose,pro.pose,depose,de.pose
propose,pro.pose,repose,re.pose
propose,pro.pose,dispose,dis.pose
dwindle,dwind.le,vtvi,vt.vi
sanction,sanct.ion,sanctuary,sanct.uary
sanction,sanct.ion,sanctimonious,sanct.imonious
pension,pen.sion,compensation,com.pen.sation
trajectory,tra.ject.ory,trajectile,tra.ject.ile
euhemerism,eu.hemer.ism,ephemeral,ep.hemer.al
ephemera,ep.hemer.a,ephemeron,ep.hemer.on
ephemera,ep.hemer.a,euhemerism,eu.hemer.ism
sediment,sedi.ment,seditious,sedi.tious
sediment,sedi.ment,sedulous,sed.ul.ous
fringe,frin.ge,flinch,flin.ch
plaintiff,plaint.iff,plaintive,plaint.ive
plaintiff,plaint.iff,complaint,com.plaint
plaintiff,plaint.iff,complain,com.plain
staunch,st.aun.ch,haunch,h.aun.ch
staunch,st.aun.ch,stal,st.al
staunch,st.aun.ch,star,st.ar
ulterior,ul.ter.ior,exterior,ex.ter.ior
revelation,re.vel.ation,reveal,re.veal
measles,meas.les,measly,meas.ly
oblivion,ob.liv.ion,oblivious,ob.liv.ious
oblivion,ob.liv.ion,livid,liv.id
assuage,as.su.age,suave,su.ave
assuage,as.su.age,persuade,per.su.ade
assuage,as.su.age,dissuade,dis.su.ade
exhort,ex.hort,cohort,co.hort
exhort,ex.hort,exert,ex.ert
glacial,glac.ial,glacer,glac.er
encumber,en.cumb.er,incumbent,in.cumb.ent
encumber,en.cumb.er,unencumbered,un.encumber.ed
nimble,nimb.le,nimbus,nimb.us
jugular,jug.ular,titular,tit.ular
jugular,jug.ular,tabular,tab.ular
jugular,jug.ular,regular,reg.ular
jugular,jug.ular,secular,sec.ular
desolate,de.sol.ate,isolate,i.sol.ate
devastation,de.vast.ation,devastate,de.vast.ate
concession,con.cess.ion,concede,con.cede
concession,con.cess.ion,cession,cess.ion
concession,con.cess.ion,recession,re.cession
concession,con.cess.ion,consensus,con.sens.us
concession,con.cess.ion,compromise,com.promise
massage,mass.age,message,mess.age
massage,mass.age,messenger,mess.enger
salivate,sa.liv.ate,saliva,sa.liv.a
salivate,sa.liv.ate,slaver,slav.er
reflex,re.flex,reflect,re.flect
reflex,re.flex,refract,re.fract
proverbial,pro.verb.ial,proverb,pro.verb
regency,reg.ency,regal,reg.al
regency,reg.ency,regent,reg.ent
regency,reg.ency,regiment,regi.ment
regency,reg.ency,register,regi.ster
brusque,bru.sque,arabesque,arab.esque
brusque,bru.sque,grotesque,grot.esque
acerbic,acerb.ic,exacerbate,ex.acerb.ate
hedonist,hedon.ist,anhedonia,an.hedon.ia
relegate,re.leg.ate,delegate,de.leg.ate
successive,suc.cess.ive,successful,suc.cess.ful
appraisal,ap.prais.al,appraise,ap.praise
appraisal,ap.prais.al,reprisal,re.prisal
appraisal,ap.prais.al,apprise,ap.prise
complacency,com.plac.ency,complaceency,com.place.ency
complacency,com.plac.ency,complacent,com.plac.ent
afflict,af.flict,inflict,in.flict
diminish,dimin.ish,diminutive,diminu.tive
diminish,dimin.ish,diminuendo,diminu.endo
exacerbate,ex.acerb.ate,acerbic,acerb.ic
advocate,ad.voc.ate,equivocate,equi.voc.ate
appealing,ap.peal.ing,appeal,ap.peal
appealing,ap.peal.ing,vn,v.n
appealing,ap.peal.ing,appellant,ap.pell.ant
appealing,ap.peal.ing,compelling,compell.ing
solstice,sol.stice,interstice,inter.st.ice
tribunal,tri.bu.nal,tribut,tri.but
allege,al.lege,allegation,al.leg.ation
allege,al.lege,allegory,al.leg.ory
proficiency,pro.fici.ency,efficiency,ef.fici.ency
proficiency,pro.fici.ency,deficiency,de.fici.ency
nuance,nu.ance,nuisance,nu.is.ance
promising,pro.mis.ing,promise,pro.mise
tropic,trop.ic,tropical,trop.ic.al
tropic,trop.ic,topic,top.ic
reside,re.side,subside,sub.side
reside,re.side,residence,re.sid.ence
reside,re.side,repose,re.pose
reside,re.side,deside,de.side
reside,re.side,inside,in.side
ginormous,gi.nor.mous,enormous,e.nor.mous
ruminate,rumin.ate,ruminant,rumin.ant
ruminate,rumin.ate,illuminate,il.lumin.ate
gullet,gull.et,gully,gull.y
gullet,gull.et,pullet,pull.et
gullet,gull.et,pellet,pell.et
reprimand,re.pri.mand,reprieve,re.pri.eve
reprimand,re.pri.mand,command,com.mand
frigate,frig.ate,frigid,frig.id
frigate,frig.ate,destroyer,destroy.er
cruiser,crui.ser,cruise,crui.se
freckle,freck.le,speckle,speck.le
aristocratic,aristo.cratic,aristocracy,aristo.cracy
gentile,gent.ile,gentle,gent.le
tropical,trop.ic.al,tropics,trop.ics
tropical,trop.ic.al,tropic,trop.ic
Cartesian,carte.sian,cartography,cart.o.graphy
discrete,dis.crete,discreet,dis.creet
discrete,dis.crete,discretion,dis.cretion
discrete,dis.crete,concrete,con.crete
discrete,dis.crete,secrete,se.crete
discrete,dis.crete,secret,se.cret
discrete,dis.crete,excrete,ex.crete
convolution,con.vol.ution,revolution,re.vol.ution
convolution,con.vol.ution,volvo,vol.vo
convolution,con.vol.ution,convulsion,con.vul.sion
quantitative,quanti.tative,quantum,quant.um
tentacle,tenta.cle,tentative,tenta.tive
trivial,tri.vial,trivia,tri.via
trivial,tri.vial,travail,tra.vail
trivial,tri.vial,trifle,tri.fle
discipline,dis.cip.line,disciple,dis.cip.le
discipline,dis.cip.line,principal,prin.cip.al
cruciferous,cruci.fer.ous,crucify,cruci.fy
migraine,mig.raine,ukraine,uk.raine
migraine,mig.raine,migrate,mig.rate
cerebral,cere.bral,cerebration,cere.bration
cerebral,cere.bral,cerebrum,cere.brum
cerebral,cere.bral,cerebellum,cere.bell.um
cerebral,cere.bral,ebrate,e.brate
walnut,wal.nut,walrus,wal.rus
virile,vir.ile,virgin,vir.gin
remedy,re.me.dy,remediable,re.me.di.able
vassal,vass.al,vessel,vess.el
hegemony,hege.mony,hedgehog,hedge.hog
notion,not.ion,notice,not.ice
benevolent,bene.vol.ent,malevolent,male.vol.ent
exceptional,ex.cept.ion.al,except,ex.cept
exceptional,ex.cept.ion.al,perception,per.cept.ion
piscatorial,pisca.tor.ial,piscatory,pisca.tory
galley,gall.ey,gallery,gall.ery
galley,gall.ey,galleon,gall.eon
galley,gall.ey,gulley,gull.ey
dinghy,ding.hy,dingy,ding.y
paddle,padd.le,puddle,pudd.le
pennant,penn.ant,pendant,pend.ant
pennant,penn.ant,pendent,pend.ent
dowry,dow.ry,dowdy,dow.dy
premise,pre.mise,promise,pro.mise
premise,pre.mise,premises,pre.mises
reverie,reve.rie,revelation,reve.lation
reverie,reve.rie,revelry,revel.ry
deplore,de.plore,implore,im.plore
deplore,de.plore,explore,ex.plore
implore,im.plore,explore,ex.plore
implore,im.plore,deplore,de.plore
implore,im.plore,implode,im.plode
ravish,rav.ish,lavish,lav.ish
ravish,rav.ish,ravage,rav.age
denounce,de.nounce,announce,an.nounce
denounce,de.nounce,renounce,re.nounce
domicile,domic.ile,domestic,domes.tic
decrepit,de.crep.it,crepuscular,crep.us.cular
decrepit,de.crep.it,discrepancy,dis.crep.ancy
disparity,dis.par.ity,parity,par.ity
disparity,dis.par.ity,disparate,dis.par.ate
disparity,dis.par.ity,disparage,dis.par.age
discrepancy,dis.crep.ancy,decrepit,de.crep.it
discrepancy,dis.crep.ancy,dispar,dis.par
brass,br.ass,brazen,bra.zen
brazier,brazi.er,brazen,braz.en
colander,co.land.er,cullender,cul.lend.er
cognate,cogn.ate,cogitate,cog.it.ate
harrow,har.row,harrowing,har.row.ing
harrow,har.row,farrow,far.row
harrow,har.row,marrow,mar.row
harrow,har.row,halloween,Hal.low.een
vertex,vert.ex,apex,ap.ex
vertex,vert.ex,vortex,vort.ex
vertex,vert.ex,cortex,cort.ex
milieu,mi.lieu,milei,Mi.lei
milieu,mi.lieu,purlieus,pur.lieus
miasma,mi.asma,mirage,mi.rage
littoral,litt.or.al,litter,litt.er
littoral,litt.or.al,piscatorial,pisca.tor.ial
quaver,qua.ver,quaker,Qua.ker
quaver,qua.ver,quake,qua.ke
mauve,mau.ve,maudlin,maud.lin
catalepsy,cata.lepsy,epilepsy,epi.lepsy
catalepsy,cata.lepsy,narcolepsy,narco.lepsy
epilepsy,epi.lepsy,leprosy,lep.rosy
epilepsy,epi.lepsy,catalepsy,cata.lepsy
epilepsy,epi.lepsy,narcolepsy,narco.lepsy
dilemma,di.lem.ma,lemma,lem.ma
splurge,spl.urge,splash,spl.ash
squander,squ.and.er,quandary,qu.and.ary
squander,squ.and.er,quarrel,qu.arrel
acclivity,ac.cliv.ity,proclivity,pro.cliv.ity
acclivity,ac.cliv.ity,declivity,de.cliv.ity
decant,de.cant,decanter,de.cant.er
decant,de.cant,scant,s.cant
decant,de.cant,descant,des.cant
vortex,vor.tex,cortex,cor.tex
vortex,vor.tex,vertex,ver.tex
affluent,af.flu.ent,confluence,con.flu.ence
tributary,tri.but.ary,tribute,tri.bute
tributary,tri.but.ary,tribulation,tri.bul.ation
reservoir,re.serv.oir,reserve,re.serve
repository,re.posit.ory,position,posit.ion
repository,re.posit.ory,repose,re.pose
repository,re.posit.ory,vn,v.n
pantry,pan.try,paltry,pal.try
pantry,pan.try,panty,pan.ty
pantry,pan.try,pastry,pas.try
pantry,pan.try,pasty,pas.ty
mortuary,mort.uary,mortgage,mort.gage
mortuary,mort.uary,sanctuary,sanct.uary
necropsy,necro.psy,autopsy,auto.psy
necropsy,necro.psy,necromancer,necro.mancer
necropolis,necro.polis,necromancer,necro.mancer
cemetery,ce.met.ery,comet,co.met
cemetery,ce.met.ery,cement,ce.ment
tumulus,tu.mul.us,tumuli,tu.muli
tumulus,tu.mul.us,cumulus,cu.mul.us
tumulus,tu.mul.us,tumultuous,tu.mult.uous
rampart,ram.part,rampant,ram.pant
rampart,ram.part,rampage,ram.page
rampart,ram.part,vn,v.n
egress,e.gress,ingress,in.gress
egress,e.gress,digress,di.gress
egress,e.gress,inbound,in.bound
egress,e.gress,outbound,out.bound
gambol,gam.bol,gamble,gam.ble
gambol,gam.bol,gambit,gam.bit
gambol,gam.bol,vn,v.n
respire,re.spire,vtvi,vt.vi
respire,re.spire,resp,re.sp
bower,bow.er,bowler,bowl.er
lounge,l.oun.ge,round,r.oun.d
lounge,l.oun.ge,count,c.oun.t
boutique,bou.ti.que,bouquet,bou.quet
boutique,bou.ti.que,boudoir,boud.oir
sanatorium,san.ator.ium,atorium,ator.ium
sanatorium,san.ator.ium,moratorium,mor.ator.ium
sanatorium,san.ator.ium,crematorium,crem.ator.ium
paling,pal.ing,palisade,pali.sade
banister,ban.ist.er,guardrail,guard.rail
conceal,con.ceal,vn,v.n
conceal,con.ceal,reveal,re.veal
compliance,com.pli.ance,compliment,com.pli.ment
compliance,com.pli.ance,nv,n.v
compliance,com.pli.ance,complaisance,com.plais.ance
compliance,com.pli.ance,appliance,ap.pli.ance
compliance,com.pli.ance,comply,com.ply
compliance,com.pli.ance,apply,ap.ply
compliance,com.pli.ance,obeisance,obei.sance
compliance,com.pli.ance,deference,defer.ence
logarithm,log.arithm,arithmetic,arithm.etic
detritus,de.trit.us,detriment,de.tri.ment
refuse,re.fuse,refute,re.fute
vestige,vesti.ge,investigate,in.vesti.gate
ordinance,ordin.ance,ordination,ordin.ation
ordinance,ordin.ance,ordnance,ord.nance
perverse,per.verse,pervert,per.vert
rebuke,re.buke,rebate,re.bate
consonant,con.son.ant,resonant,re.son.ant
brittle,bri.ttle,little,li.ttle
brittle,bri.ttle,british,bri.tish
brittle,bri.ttle,bristle,bri.stle
choreography,chore.o.graphy,chorus,chor.us
amnesty,a.mnes.ty,amnesia,a.mnes.ia
remission,re.miss.ion,remiss,re.miss
remission,re.miss.ion,intermission,inter.mission
remission,re.miss.ion,remit,re.mit
inflict,in.flict,afflict,af.flict
impute,im.pute,compute,com.pute
impute,im.pute,impugn,im.pugn
infraction,in.fract.ion,fraction,fract.ion
infraction,in.fract.ion,fracture,fract.ure
infraction,in.fract.ion,refractory,re.fract.ory
infraction,in.fract.ion,refraction,re.fract.ion
infraction,in.fract.ion,infrared,in.fr.are.d
commandment,com.mand.ment,command,com.mand
commandment,com.mand.ment,testament,test.a.ment
regimentation,regi.ment.ation,regiment,regi.ment
regiment,regi.ment,regimentation,regi.ment.ation
regiment,regi.ment,regiem,regi.em
regiment,regi.ment,regimen,regi.men
regiment,regi.ment,register,regi.ster
constitution,con.sti.tu.tion,institute,in.sti.tu.te
interdict,inter.dict,intersect,inter.sect
interdict,inter.dict,interjection,inter.jection
interdict,inter.dict,injunction,in.junct.ion
injunction,in.junction,conjunction,con.junction
injunction,in.junction,interdict,inter.dict
distillate,di.still.ate,distill,di.still
catalyst,cata.lyst,catastrophe,cata.strophe
catalyst,cata.lyst,catalogue,cata.logue
coagulate,co.ag.ul.ate,agent,ag.ent
emulsion,e.mul.sion,emollient,e.moll.ient
emulsion,e.mul.sion,emolument,e.molu.ment
varnish,varn.ish,vernacular,vern.acular
apparatus,ap.para.tus,asparagus,as.para.gus
apparatus,ap.para.tus,parrot,parr.ot
indictment,in.dict.ment,indict,in.dict
indictment,in.dict.ment,dictator,dict.ator
allegation,al.leg.ation,allege,al.lege
allegation,al.leg.ation,allegory,al.leg.ory
delirium,de.lir.ium,delirious,de.lir.ious
delirium,de.lir.ium,delusion,de.lu.sion
dysphoria,dys.phor.ia,aphorism,a.phor.ism
dysphoria,dys.phor.ia,euphoria,eu.phor.ia
dysphoria,dys.phor.ia,metaphor,meta.phor
dysphoria,dys.phor.ia,anhedonia,an.hedon.ia
dysphoria,dys.phor.ia,aphasia,a.phas.ia
hypocrite,hypo.crite,hypocrisy,hypo.crisy
hypocrite,hypo.crite,hypothetical,hypo.the.tical
hypocrite,hypo.crite,hypodermic,hypo.dermic
hypocrite,hypo.crite,hypothermia,hypo.thermia
somnambulism,somn.ambul.ism,insomnia,in.somn.ia
somnambulism,somn.ambul.ism,ambulance,ambul.ance
convulsion,con.vul.sion,convolution,con.volu.tion
allergy,al.lergy,allergies,al.lergies
fracture,fract.ure,refractory,re.fract.ory
fracture,fract.ure,refract,re.fract
fracture,fract.ure,infraction,in.fract.ion
fracture,fract.ure,fraction,fract.ion
ailment,ail.ment,ailing,ail.ing
fulcrum,ful.crum,simulacrum,simula.crum
pulley,pull.ey,pullet,pull.et
pierce,pier.ce,fierce,fier.ce
insomnia,in.somn.ia,somnambulant,somn.ambulant
insomnia,in.somn.ia,amnesia,a.mnes.ia
insomnia,in.somn.ia,soporific,sopor.ific
asthma,asth.ma,miasma,mi.asma
asthma,asth.ma,allergy,al.lergy
aphasia,a.phas.ia,emphasize,em.phas.ize
aphasia,a.phas.ia,dysphoria,dys.phor.ia
flatulence,flat.ul.ence,flatus,flat.us
amnesia,a.mnes.ia,amnesty,a.mnes.ty
amnesia,a.mnes.ia,insomnia,in.somn.ia
neurosis,neuro.sis,neural,neur.al
neurosis,neuro.sis,neurology,neuro.logy
neurosis,neuro.sis,neurological,neuro.logic.al
leprosy,lep.rosy,epilepsy,epi.lepsy
hypochondria,hypo.chondr.ia,mitochondria,mito.chondr.ia
hypochondria,hypo.chondr.ia,chondral,chondr.al
hypochondria,hypo.chondr.ia,hypothesis,hypo.thesis
hypochondria,hypo.chondr.ia,hypocrite,hypo.crite
metrorrhagia,metro.rrh.agia,hemorrhage,hemo.rrh.age
diphtheria,diph.ther.ia,phthisis,ph.th.isis
diphtheria,diph.ther.ia,dipsomania,dipso.mania
encephalitis,en.ce.phal.itis,cephalic,ce.phal.ic
encephalitis,en.ce.phal.itis,cerebrum,cerebr.um
encephalitis,en.ce.phal.itis,cerebral,cerebr.al
cholecystitis,chole.cyst.itis,cholesterol,chole.ster.ol
gastritis,gastr.itis,gastronomy,gastr.onomy
arthritis,arthr.itis,author,auth.or
arthritis,arthr.itis,arthur,Arth.ur
lithiasis,lith.ia.sis,iasis,ia.sis
languish,lan.gu.ish,anguish,an.gu.ish
languish,lan.gu.ish,nadj,n.adj
elicit,e.lic.it,illicit,il.lic.it
elicit,e.lic.it,delicious,de.lic.ious
inordinate,in.ordinate,extraordinary,extra.ordinary
inordinate,in.ordinate,subordinate,sub.ordinate
inordinate,in.ordinate,coordinate,co.ordinate
covenant,cove.nant,alcove,al.cove
incorporate,in.corp.or.ate,incorporation,in.corp.or.ation
incorporate,in.corp.or.ate,corpus,corp.us
incorporate,in.corp.or.ate,corpse,corp.se
reciprocity,reci.pro.city,reciprocal,reci.pro.cal
megalomania,mega.lo.mania,megawatt,mega.watt
megalomania,mega.lo.mania,megabyte,mega.byte
megalomania,mega.lo.mania,magnificent,magn.ific.ent
gynephobia,gyne.phobia,gynecology,gyne.cology
gynephobia,gyne.phobia,misogynist,miso.gyn.ist
impotence,im.pot.ence,impotent,im.pot.ent
collateral,col.later.al,bilateral,bi.later.al
dividend,di.vi.dend,divisor,di.vi.sor
capitation,capit.ation,capital,capit.al
capitation,capit.ation,capitulation,capit.ul.ation
capitation,capit.ation,decapitation,de.capit.ation
capitation,capit.ation,decapitate,de.capit.ate
capitation,capit.ation,captivating,capti.vating
exchequer,ex.che.quer,cheque,che.que
revenue,re.ve.nue,venue,ven.ue
revenue,re.ve.nue,avenue,a.ven.ue
reimburse,re.im.burse,disburse,dis.burse
reimburse,re.im.burse,restitute,re.stitute
reimburse,re.im.burse,indemnification,in.dem.nifi.cation
incumbent,in.cumb.ent,encumber,en.cumb.er
incumbent,in.cumb.ent,cucumber,cu.cumb.er
liability,li.ability,reliability,re.li.ability
absolve,ab.solve,dissolve,dis.solve
absolve,ab.solve,abrogate,ab.rogate
abrogate,ab.rog.ate,prerogative,pre.rog.ative
abrogate,ab.rog.ate,arrogate,ar.rog.ate
privilege,priv.il.ege,private,priv.ate
prerogative,pre.rog.ative,rogue,rog.ue
prerogative,pre.rog.ative,arrogant,ar.rog.ant
prerogative,pre.rog.ative,derogatory,de.rog.atory
prerogative,pre.rog.ative,surrogate,sur.rog.ate
prerogative,pre.rog.ative,nv,n.v
prerogative,pre.rog.ative,perquisite,per.quisite
perquisite,per.quis.ite,exquisite,ex.quis.ite
perquisite,per.quis.ite,requisite,re.quis.ite
perquisite,per.quis.ite,disquisition,dis.quis.ition
perquisite,per.quis.ite,prerogative,pre.rog.ative
denomination,de.nomin.ation,denominational,de.nomin.ation.al
denomination,de.nomin.ation,denominator,de.nomin.ator
denomination,de.nomin.ation,nomination,nomin.ation
denomination,de.nomin.ation,nominal,nomin.al
bullion,bull.ion,billion,bill.ion
bullion,bull.ion,million,mill.ion
extort,ex.tort,extortion,ex.tort.ion
extort,ex.tort,torture,tort.ure
extort,ex.tort,nv,n.v
extort,ex.tort,exertion,ex.ert.ion
embezzle,em.bezz.le,pilfer,pil.fer
peculate,pecu.late,pecuniary,pecu.ni.ary
peculate,pecu.late,impecunious,im.pecu.ni.ous
peculate,pecu.late,penury,penu.ry
honorarium,honor.ar.ium,honorary,honor.ary
emolument,e.molu.ment,emulsion,e.mul.sion
emolument,e.molu.ment,emollient,e.molli.ent
emolument,e.molu.ment,honorarium,honor.ar.ium
remunerate,re.muner.ate,ammuni,am.muni
requite,re.quite,requital,re.quit.al
requite,re.quite,equity,e.quity
requite,re.quite,acquittal,ac.quit.tal
requite,re.quite,require,re.quire
requite,re.quite,requisite,re.quis.ite
requital,re.quit.al,requite,re.quite
requital,re.quit.al,equity,e.quity
requital,re.quit.al,require,re.quire
requital,re.quit.al,reprisal,re.pris.al
restitution,re.sti.tu.tion,constitution,con.sti.tu.tion
restitution,re.sti.tu.tion,institution,in.sti.tu.tion
restitution,re.sti.tu.tion,destitution,de.sti.tu.tion
manifest,mani.fest,manifesto,mani.festo
auspices,au.spic.es,auspicious,au.spic.ious
ultimatum,ul.tim.atum,ultimate,ul.tim.ate
ultimatum,ul.tim.atum,ultra,ul.tra
herbivore,herb.i.vore,carnivore,carn.i.vore
carnivore,carni.vore,carnival,carni.val
carnivore,carni.vore,devour,de.vour
carnivore,carni.vore,herbivore,herbi.vore
carnivore,carni.vore,cannibal,can.nib.al
holocaust,holo.caust,holograph,holo.graph
duel,du.el,duo,du.o
duel,du.el,duet,du.et
reprisal,re.pris.al,reprise,re.prise
reprisal,re.pris.al,appraisal,ap.prais.al
reprisal,re.pris.al,requite,re.quite
reprisal,re.pris.al,reprieve,re.pri.eve
anatomy,ana.tomy,dichotomy,di.cho.tomy
anatomy,ana.tomy,epitome,epi.tome
sentinel,sen.tin.el,sentry,sen.try
cavalry,caval.ry,chivalry,chival.ry
cavalcade,caval.cade,cavalry,caval.ry
cavalcade,caval.cade,chivalry,chival.ry
misfortune,mis.for.tune,fortune,for.tune
parturition,part.ur.ition,gestation,gest.ation
scourge,scour.ge,courage,cour.age
skirmish,skirm.ish,squeamish,squeam.ish
assail,as.sail,unassailable,un.as.sail.able
incursion,in.cur.sion,incur,in.cur
incursion,in.cur.sion,excursion,ex.cur.sion
incursion,in.cur.sion,infringe,in.fringe
lesion,le.sion,lesson,le.sson
modicum,mod.ic.um,moderate,mod.er.ate
paucity,pau.city,paltry,pal.try
paucity,pau.city,scarcity,scar.city
discomfit,dis.com.fit,discomfort,dis.com.fort
discomfit,dis.com.fit,nv,n.v
quandary,qu.and.ary,quand,qu.and
quandary,qu.and.ary,squander,squ.and.er
predicament,pre.dica.ment,prevaricate,pre.vari.cate
predicament,pre.dica.ment,imprecation,im.pre.cation
adversity,ad.vers.ity,adverse,ad.verse
adversity,ad.vers.ity,adversary,ad.vers.ary
adversity,ad.vers.ity,advertise,ad.vert.ise
adversity,ad.vers.ity,diversity,di.vers.ity
tribulation,trib.ul.ation,tributary,tribut.ary
dispense,dis.pense,expense,ex.pense
dispense,dis.pense,recompense,re.com.pense
dispense,dis.pense,vn,v.n
dispense,dis.pense,disperse,dis.perse
dispense,dis.pense,dispersal,dis.pers.al
dispense,dis.pense,dispose,dis.pose
premises,pre.mis.es,premise,pre.mise
penurious,pen.uri.ous,penury,pen.ury
penurious,pen.uri.ous,impecunious,impecuni.ous
penurious,pen.uri.ous,pecuniary,pecuni.ary
necessity,ne.cess.ity,necessary,ne.cess.ary
necessity,ne.cess.ity,requisite,re.quis.ite
indigent,in.dig.ent,prodigal,pro.dig.al
indigent,in.dig.ent,prodigy,pro.dig.y
indigent,in.dig.ent,indignant,indign.ant
